,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,BA King,B Kumar,KR Mayers,0,0,0,0,186,0,1,0,-,1.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
1,BA King,B Kumar,KR Mayers,1,0,1,1,185,1,2,0,-,2.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
2,KR Mayers,B Kumar,BA King,0,0,0,1,185,0,1,0,-,3.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,Left hand Bat,,Right arm Medium
3,KR Mayers,B Kumar,BA King,0,5,5,6,180,0,2,0,wides,3.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,Left hand Bat,,Right arm Medium
4,KR Mayers,B Kumar,BA King,0,1,1,7,179,0,3,0,legbyes,4.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,Left hand Bat,,Right arm Medium
5,BA King,B Kumar,KR Mayers,0,0,0,7,179,1,3,0,-,5.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
6,BA King,B Kumar,KR Mayers,1,0,1,8,178,2,4,0,-,6.0,0,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
7,BA King,DL Chahar,KR Mayers,0,0,0,8,178,2,5,0,-,1.0,1,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
8,BA King,DL Chahar,KR Mayers,0,0,0,8,178,2,6,0,-,2.0,1,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
9,BA King,DL Chahar,KR Mayers,1,0,1,9,177,3,7,0,-,3.0,1,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,,Left hand Bat,Right arm Medium
10,KR Mayers,DL Chahar,BA King,0,0,0,9,177,0,4,0,-,4.0,1,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,Left hand Bat,,Right arm Medium
11,KR Mayers,DL Chahar,BA King,1,0,1,10,176,1,5,0,-,5.0,1,,0,,,field,West Indies,2,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,West Indies,India,False,178,Left hand Bat,,Right arm Medium
