,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JH Kallis,Harbhajan Singh,LE Bosman,0,0,0,0,186,0,1,0,1,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
1,JH Kallis,Harbhajan Singh,LE Bosman,1,0,1,1,185,1,2,0,2,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
2,LE Bosman,Harbhajan Singh,JH Kallis,0,0,0,1,185,0,1,0,3,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
3,LE Bosman,Harbhajan Singh,JH Kallis,0,0,0,1,185,0,2,0,4,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
4,LE Bosman,Harbhajan Singh,JH Kallis,1,0,1,2,184,1,3,0,5,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
5,JH Kallis,Harbhajan Singh,LE Bosman,4,0,4,6,180,5,3,0,6,0,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
6,LE Bosman,P Kumar,JH Kallis,0,0,0,6,180,1,4,0,1,1,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
7,LE Bosman,P Kumar,JH Kallis,0,1,1,7,179,1,5,0,2,1,legbyes,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
8,JH Kallis,P Kumar,LE Bosman,1,0,1,8,178,6,4,0,3,1,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
9,LE Bosman,P Kumar,JH Kallis,1,0,1,9,177,2,6,0,4,1,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
10,JH Kallis,P Kumar,LE Bosman,0,0,0,9,177,6,5,0,5,1,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
11,JH Kallis,P Kumar,LE Bosman,1,0,1,10,176,7,6,0,6,1,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
12,JH Kallis,Harbhajan Singh,LE Bosman,0,0,0,10,176,7,7,0,1,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
13,JH Kallis,Harbhajan Singh,LE Bosman,0,0,0,10,176,7,8,0,2,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
14,JH Kallis,Harbhajan Singh,LE Bosman,1,0,1,11,175,8,9,0,3,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
15,LE Bosman,Harbhajan Singh,JH Kallis,0,0,0,11,175,2,7,0,4,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
16,LE Bosman,Harbhajan Singh,JH Kallis,1,0,1,12,174,3,8,0,5,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
17,JH Kallis,Harbhajan Singh,LE Bosman,1,0,1,13,173,9,10,0,6,2,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
18,JH Kallis,A Nehra,LE Bosman,0,0,0,13,173,9,11,0,1,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
19,JH Kallis,A Nehra,LE Bosman,1,0,1,14,172,10,12,0,2,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
20,LE Bosman,A Nehra,JH Kallis,1,0,1,15,171,4,9,0,3,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
21,JH Kallis,A Nehra,LE Bosman,1,0,1,16,170,11,13,0,4,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
22,LE Bosman,A Nehra,JH Kallis,0,0,0,16,170,4,10,0,5,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
23,LE Bosman,A Nehra,JH Kallis,1,0,1,17,169,5,11,0,6,3,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
24,LE Bosman,YK Pathan,JH Kallis,2,0,2,19,167,7,12,0,1,4,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
25,LE Bosman,YK Pathan,JH Kallis,1,0,1,20,166,8,13,0,2,4,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
26,JH Kallis,YK Pathan,LE Bosman,1,0,1,21,165,12,14,0,3,4,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
27,LE Bosman,YK Pathan,JH Kallis,0,0,0,21,165,8,14,1,4,4,-,caught,LE Bosman,PP Chawla,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
28,JH Kallis,YK Pathan,GC Smith,3,0,3,24,162,15,15,1,5,4,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
29,GC Smith,YK Pathan,JH Kallis,1,0,1,25,161,1,1,1,6,4,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
30,GC Smith,A Nehra,JH Kallis,0,1,1,26,160,1,2,1,1,5,legbyes,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
31,JH Kallis,A Nehra,GC Smith,1,0,1,27,159,16,16,1,2,5,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
32,GC Smith,A Nehra,JH Kallis,2,0,2,29,157,3,3,1,3,5,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
33,GC Smith,A Nehra,JH Kallis,1,0,1,30,156,4,4,1,4,5,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
34,JH Kallis,A Nehra,GC Smith,2,0,2,32,154,18,17,1,5,5,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
35,JH Kallis,A Nehra,GC Smith,0,0,0,32,154,18,18,1,6,5,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
36,GC Smith,YK Pathan,JH Kallis,1,0,1,33,153,5,5,1,1,6,-,0,,,field,South Africa,2,"Beausejour Stadium, Gros Islet",2010,05,India_South Africa_2010-05-02,India,South Africa,India,False,172
