,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,P Nissanka,PR Stirling,MDKJ Perera,1,0,1,1,123,1,1,0,1,0,,,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
1,MDKJ Perera,PR Stirling,P Nissanka,0,0,0,1,123,0,1,1,2,caught,MDKJ Perera,GJ Delany,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
2,LD Chandimal,PR Stirling,P Nissanka,1,0,1,2,122,1,1,1,3,0,,,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
3,P Nissanka,PR Stirling,LD Chandimal,1,0,1,3,121,2,2,1,4,0,,,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
4,LD Chandimal,PR Stirling,P Nissanka,0,0,0,3,121,1,2,1,5,0,,,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
5,LD Chandimal,PR Stirling,P Nissanka,1,0,1,4,120,2,3,1,6,0,,,0,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
6,LD Chandimal,J Little,P Nissanka,0,0,0,4,120,2,4,1,1,0,,,1,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
7,LD Chandimal,J Little,P Nissanka,4,0,4,8,116,6,5,1,2,0,,,1,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
8,LD Chandimal,J Little,P Nissanka,0,0,0,8,116,6,6,2,3,bowled,LD Chandimal,,1,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
9,WIA Fernando,J Little,P Nissanka,0,0,0,8,116,0,1,3,4,bowled,WIA Fernando,,1,-,,field,Ireland,1,"Zayed Cricket Stadium, Abu Dhabi",2021,10,Sri Lanka_Ireland_2021-10-20,Sri Lanka,Sri Lanka,Ireland,171
