,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,DR Smith,JL Pattinson,J Charles,0,5,5,5,145,0,1,0,1,wides,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
1,DR Smith,JL Pattinson,J Charles,0,0,0,5,145,0,2,0,2,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
2,DR Smith,JL Pattinson,J Charles,0,0,0,5,145,0,3,0,3,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
3,DR Smith,JL Pattinson,J Charles,0,0,0,5,145,0,4,0,4,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
4,DR Smith,JL Pattinson,J Charles,4,0,4,9,141,4,5,0,5,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
5,DR Smith,JL Pattinson,J Charles,1,0,1,10,140,5,6,0,6,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
6,J Charles,JL Pattinson,DR Smith,4,0,4,14,136,4,1,0,7,-,1,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
7,DR Smith,B Lee,J Charles,0,0,0,14,136,5,7,0,1,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
8,DR Smith,B Lee,J Charles,4,0,4,18,132,9,8,0,2,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
9,DR Smith,B Lee,J Charles,1,0,1,19,131,10,9,0,3,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
10,J Charles,B Lee,DR Smith,6,0,6,25,125,10,2,0,4,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
11,J Charles,B Lee,DR Smith,4,0,4,29,121,14,3,0,5,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
12,J Charles,B Lee,DR Smith,0,0,0,29,121,14,4,0,6,-,2,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
13,DR Smith,CJ McKay,J Charles,0,0,0,29,121,10,10,0,1,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
14,DR Smith,CJ McKay,J Charles,1,0,1,30,120,11,11,0,2,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
15,J Charles,CJ McKay,DR Smith,1,0,1,31,119,15,5,0,3,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
16,DR Smith,CJ McKay,J Charles,1,0,1,32,118,12,12,0,4,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
17,J Charles,CJ McKay,DR Smith,0,0,0,32,118,15,6,0,5,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
18,J Charles,CJ McKay,DR Smith,2,0,2,34,116,17,7,0,6,-,3,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
19,DR Smith,XJ Doherty,J Charles,1,0,1,35,115,13,13,0,1,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
20,J Charles,XJ Doherty,DR Smith,1,0,1,36,114,18,8,0,2,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
21,DR Smith,XJ Doherty,J Charles,0,0,0,36,114,13,14,0,3,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
22,DR Smith,XJ Doherty,J Charles,1,0,1,37,113,14,15,0,4,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
23,J Charles,XJ Doherty,DR Smith,1,0,1,38,112,19,9,0,5,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
24,DR Smith,XJ Doherty,J Charles,0,0,0,38,112,14,16,0,6,-,4,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
25,J Charles,CJ McKay,DR Smith,4,0,4,42,108,23,10,0,1,-,5,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
26,J Charles,CJ McKay,DR Smith,0,1,1,43,107,23,11,0,2,wides,5,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
27,J Charles,CJ McKay,DR Smith,0,0,0,43,107,23,12,0,3,-,5,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
28,J Charles,CJ McKay,DR Smith,0,0,0,43,107,23,13,0,4,-,5,0,,,bat,West Indies,1,"Kensington Oval, Bridgetown",2012,03,West Indies_Australia_2012-03-30,West Indies,West Indies,Australia
